id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
868898674242559000,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 2 beds · 1 bath,487662519,Sima,,Centraal Station,51.212538328974475,4.420217089354992,Entire home/apt,88,1,11,2023-08-11,2.09,8,354,11,
868961849976047917,Rental unit in Antwerpen · ★4.45 · 1 bedroom · 1 bed · 1 bath,150798944,Lucas,,Oud - Berchem,51.1983249,4.431556,Entire home/apt,69,3,11,2023-08-27,2.24,3,163,11,
869324493809191830,Rental unit in Antwerpen · ★4.92 · 2 bedrooms · 3 beds · 2.5 baths,244161050,Caroline,,Zuid,51.208568,4.3920061,Entire home/apt,200,2,13,2023-09-03,2.67,1,337,13,
870265048241270507,Rental unit in Antwerpen · ★4.33 · 1 bedroom · 2 beds · 1 bath,110469250,Alistair,,Eilandje,51.2309302,4.4123659,Entire home/apt,148,1,24,2023-08-21,5.14,8,348,24,
870893763488353832,Rental unit in Antwerpen · ★4.89 · 2 bedrooms · 2 beds · 1 bath,182678477,Sleep Inn,,Historisch Centrum,51.2198713,4.3984607,Entire home/apt,147,1,9,2023-08-18,1.93,27,332,9,
870958229389235207,Rental unit in Antwerpen · 2 bedrooms · 3 beds · 1 bath,496406662,Ekaterina,,Stadspark,51.20627,4.41652,Entire home/apt,100,6,1,2023-07-22,0.47,15,364,1,
871003486665867193,Rental unit in Antwerpen · ★4.60 · 1 bedroom · 1 bed · 1 bath,23618489,Jo,,Sint-Andries,51.2158783,4.3969172,Entire home/apt,64,1,25,2023-09-10,4.87,5,77,25,
871006738805337343,Rental unit in Antwerpen · ★4.50 · 1 bedroom · 2 beds · 1 bath,23618489,Jo,,Sint-Andries,51.2158783,4.3969172,Entire home/apt,75,1,24,2023-09-23,4.86,5,62,24,
871492891514005019,Rental unit in Antwerpen · ★4.67 · 1 bedroom · 2 beds · 1 bath,509701447,Gabriel,,Brederode,51.20462449999999,4.3925336,Entire home/apt,57,1,33,2023-09-14,6.47,1,330,33,
871605124032750431,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,9779460,Charlie,,Haringrode,51.20267,4.41616,Entire home/apt,92,2,5,2023-07-28,1.19,1,352,5,
871627108298923143,Home in Antwerpen · 2 bedrooms · 2 beds · 1.5 baths,52020337,Florane,,Linkeroever,51.2186,4.37641,Entire home/apt,100,4,0,,,2,26,0,
872353302616208348,Hotel in Antwerpen · 1 bedroom · 1 bed · 1 private bath,510631770,Tayla,,Universiteitsbuurt,51.22113,4.4063,Private room,265,1,0,,,2,361,0,
872964505873727778,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,458860429,Mathias,,Hoogte,51.1810699,4.3926756,Entire home/apt,80,3,1,2023-08-14,0.73,1,234,1,
872973224020339485,Hotel in Antwerpen · 1 bedroom · 1 bed · 1 bath,510631770,Tayla,,Universiteitsbuurt,51.22273,4.40605,Private room,396,1,0,,,2,20,0,
873009425882256225,Loft in Antwerpen · 1 bedroom · 1 bed · 1.5 baths,490330249,Bo,,Borgerhout Intra Muros Noord,51.21385,4.44079,Entire home/apt,60,30,1,2023-05-22,0.24,10,204,1,
873032315249713686,Loft in Antwerpen · 1 bedroom · 1 bed · 1 bath,490330249,Bo,,Borgerhout Intra Muros Noord,51.21464,4.43974,Entire home/apt,60,30,0,,,10,174,0,
873039453800071792,Loft in Antwerpen · 1 bedroom · 1 bed · 1 bath,490330249,Bo,,Borgerhout Intra Muros Zuid,51.21388,4.43913,Entire home/apt,75,28,0,,,10,125,0,
873046428877158715,Loft in Antwerpen · 1 bedroom · 1 bed · 1 bath,490330249,Bo,,Borgerhout Intra Muros Noord,51.21504,4.43954,Entire home/apt,60,28,0,,,10,21,0,
873057758846427236,Loft in Antwerpen · 2 bedrooms · 3 beds · 1 bath,490330249,Bo,,Borgerhout Intra Muros Zuid,51.21355,4.43892,Entire home/apt,100,28,0,,,10,357,0,
873081848622012457,Loft in Antwerpen · 2 bedrooms · 4 beds · 1 bath,490330249,Bo,,Borgerhout Intra Muros Zuid,51.21384,4.44106,Entire home/apt,68,30,0,,,10,21,0,
873088934312435515,Loft in Antwerpen · 2 bedrooms · 4 beds · 1 bath,490330249,Bo,,Borgerhout Intra Muros Noord,51.21562,4.43967,Entire home/apt,60,30,0,,,10,23,0,
873092436072928954,Loft in Antwerpen · 2 bedrooms · 4 beds · 1 bath,490330249,Bo,,Borgerhout Intra Muros Noord,51.21483,4.44077,Entire home/apt,56,30,0,,,10,309,0,
873101301511598628,Loft in Antwerpen · 3 bedrooms · 6 beds · 1 bath,490330249,Bo,,Borgerhout Intra Muros Noord,51.2156,4.44099,Entire home/apt,92,30,0,,,10,293,0,
873107350188502252,Loft in Antwerpen · 2 bedrooms · 5 beds · 1 bath,490330249,Bo,,Nieuwdreef,51.24341,4.43275,Entire home/apt,56,30,0,,,10,328,0,
873624497174737071,Rental unit in Antwerpen · 2 bedrooms · 2 beds · 1 bath,37963405,Barbara,,Deurne Zuid Oost,51.201754144949106,4.467274065606697,Entire home/apt,100,2,1,2023-05-06,0.21,1,0,1,
873679179206084860,Rental unit in Antwerpen · ★4.92 · 2 bedrooms · 2 beds · 1 bath,465776254,Sarah,,Deurne Noord,51.23299343827455,4.452534139930232,Entire home/apt,93,2,26,2023-09-17,5.06,2,348,26,
873965350569895900,Rental unit in Antwerpen · ★4.88 · 1 bedroom · 2 beds · 1.5 shared baths,327444295,Lucy,,Historisch Centrum,51.21848,4.40333,Private room,116,1,8,2023-08-17,1.74,6,1,8,
874030747771296182,Rental unit in Antwerpen · ★4.86 · 1 bedroom · 2 beds · 1.5 shared baths,327444295,Lucy,,Historisch Centrum,51.22019,4.40305,Private room,110,2,7,2023-07-26,1.46,6,2,7,
874328157888984546,Rental unit in Antwerpen · ★4.89 · 2 bedrooms · 4 beds · 1.5 baths,327444295,Lucy,,Historisch Centrum,51.21855,4.40408,Entire home/apt,324,1,19,2023-09-17,5.00,6,308,19,
874485661109296313,Rental unit in Antwerpen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,483654819,Huswell,,Eilandje,51.23211,4.40924,Entire home/apt,198,2,7,2023-09-01,1.76,20,304,7,
874671676714325806,Rental unit in Antwerpen · ★4.82 · 1 bedroom · 2 beds · 1 bath,327444295,Lucy,,Historisch Centrum,51.22011,4.40289,Entire home/apt,147,1,22,2023-09-07,4.93,6,298,22,
874690855666101825,Rental unit in Antwerpen · 1 bedroom · 3 beds · 1 bath,22713933,Dd,,Amandus - Atheneum,51.22147,4.42685,Entire home/apt,85,2,0,,,2,229,0,
874902983330674450,Condo in Antwerpen · ★4.75 · 1 bedroom · 1 bed · 1 bath,45468421,Michaël,,Amandus - Atheneum,51.22833,4.4237,Entire home/apt,60,5,4,2023-07-27,1.05,2,291,4,
875252404450866349,Rental unit in Antwerpen · 2 bedrooms · 1 bed · 1 bath,54751448,Mariam,,Amandus - Atheneum,51.2235393,4.4191926,Entire home/apt,50,180,0,,,1,269,0,
875588687905641073,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,498672895,Illias,,Historisch Centrum,51.2185582,4.398518399999999,Entire home/apt,196,1,0,,,9,339,0,
875595115631499651,Rental unit in Antwerpen · 2 bedrooms · 2 beds · 1 bath,498672895,Illias,,Historisch Centrum,51.21925,4.39752,Entire home/apt,188,1,0,,,9,343,0,
876019383815257985,Condo in Antwerpen · ★4.92 · 2 bedrooms · 4 beds · 1.5 baths,49598993,Raf,,Eilandje,51.23136,4.41134,Entire home/apt,187,1,13,2023-09-09,2.79,2,332,13,
